Arrival time,Boarding stop,Stops to go,Direction
06:03:16,15,3,VALDOIE 
06:09:39,2,9,VALDOIE 
06:21:36,16,2,VALDOIE 
06:25:16,4,5,VALDOIE 
06:28:12,1,14,VALDOIE 
06:29:50,1,9,VALDOIE 
06:31:40,9,3,VALDOIE 
06:32:51,8,5,VALDOIE 
06:34:41,4,12,VALDOIE 
06:35:57,10,5,VALDOIE 
06:36:35,2,3,VALDOIE 
06:37:31,7,3,VALDOIE 
06:37:48,7,4,VALDOIE 
06:43:48,14,4,VALDOIE 
06:44:40,8,4,VALDOIE 
06:48:55,5,9,VALDOIE 
06:50:21,16,1,VALDOIE 
06:51:12,14,2,VALDOIE 
06:53:23,15,1,VALDOIE 
06:54:14,4,11,VALDOIE 
06:55:39,16,2,VALDOIE 
06:55:54,17,1,VALDOIE 
07:01:47,16,2,VALDOIE 
07:02:05,2,7,VALDOIE 
07:02:38,14,2,VALDOIE 
07:05:44,12,4,VALDOIE 
07:09:27,12,6,VALDOIE 
07:10:47,9,4,VALDOIE 
07:11:36,8,6,VALDOIE 
07:12:12,7,5,VALDOIE 
07:17:15,1,12,VALDOIE 
07:22:40,9,6,VALDOIE 
07:25:08,10,5,VALDOIE 
07:29:08,7,10,VALDOIE 
07:30:19,9,5,VALDOIE 
07:32:13,8,3,VALDOIE 
07:33:09,7,11,VALDOIE 
07:33:57,11,3,VALDOIE 
07:35:28,4,7,VALDOIE 
07:35:41,8,3,VALDOIE 
07:43:14,17,1,VALDOIE 
07:45:45,10,2,VALDOIE 
07:48:21,10,6,VALDOIE 
07:53:32,1,2,VALDOIE 
07:57:48,11,3,VALDOIE 
08:02:53,10,7,VALDOIE 
08:04:30,15,2,VALDOIE 
08:05:31,14,3,VALDOIE 
08:08:54,1,9,VALDOIE 
08:10:08,2,8,VALDOIE 
08:17:39,2,15,VALDOIE 
08:18:21,9,6,VALDOIE 
08:19:13,10,8,VALDOIE 
08:19:19,5,11,VALDOIE 
08:19:28,6,9,VALDOIE 
08:20:08,4,14,VALDOIE 
08:22:16,3,10,VALDOIE 
08:26:27,4,11,VALDOIE 
08:32:16,11,6,VALDOIE 
08:34:10,13,1,VALDOIE 
08:36:53,9,3,VALDOIE 
08:36:59,4,9,VALDOIE 
08:39:37,3,5,VALDOIE 
08:40:20,13,1,VALDOIE 
08:41:28,13,2,VALDOIE 
08:48:40,17,1,VALDOIE 
08:51:00,15,1,VALDOIE 
08:51:15,14,1,VALDOIE 
08:53:01,7,11,VALDOIE 
08:54:06,14,3,VALDOIE 
08:54:47,14,3,VALDOIE 
08:56:53,7,4,VALDOIE 
08:58:43,2,15,VALDOIE 
08:59:34,10,7,VALDOIE 
09:03:35,8,9,VALDOIE 
09:04:46,12,1,VALDOIE 
09:07:09,12,2,VALDOIE 
09:07:34,3,9,VALDOIE 
09:11:06,15,1,VALDOIE 
09:12:46,11,5,VALDOIE 
09:13:22,6,9,VALDOIE 
09:15:37,7,10,VALDOIE 
09:16:11,5,9,VALDOIE 
09:19:24,16,2,VALDOIE 
09:26:42,6,10,VALDOIE 
09:29:51,13,3,VALDOIE 
09:30:53,5,6,VALDOIE 
09:35:23,14,1,VALDOIE 
09:40:17,15,3,VALDOIE 
09:42:45,6,3,VALDOIE 
09:44:15,2,15,VALDOIE 
09:46:56,7,4,VALDOIE 
09:47:30,15,1,VALDOIE 
09:52:38,5,12,VALDOIE 
09:54:36,10,8,VALDOIE 
09:56:57,5,8,VALDOIE 
10:11:42,15,2,VALDOIE 
10:11:49,10,6,VALDOIE 
10:18:19,5,8,VALDOIE 
10:24:10,5,1,VALDOIE 
10:24:58,7,2,VALDOIE 
10:25:47,1,11,VALDOIE 
10:34:12,12,5,VALDOIE 
10:50:04,3,6,VALDOIE 
10:52:07,13,1,VALDOIE 
10:56:49,1,6,VALDOIE 
10:58:32,7,11,VALDOIE 
11:15:34,12,2,VALDOIE 
11:20:45,14,2,VALDOIE 
11:21:05,1,16,VALDOIE 
11:24:07,7,6,VALDOIE 
11:33:10,8,3,VALDOIE 
11:34:08,6,9,VALDOIE 
11:38:18,4,2,VALDOIE 
11:44:56,16,1,VALDOIE 
11:46:15,4,11,VALDOIE 
12:20:39,17,1,VALDOIE 
12:37:10,7,1,VALDOIE 
12:43:30,10,1,VALDOIE 
13:00:44,8,7,VALDOIE 
13:04:04,4,10,VALDOIE 
13:20:31,2,5,VALDOIE 
13:28:49,9,6,VALDOIE 
13:35:05,6,8,VALDOIE 
13:41:09,8,10,VALDOIE 
13:44:25,10,2,VALDOIE 
13:56:06,7,6,VALDOIE 
14:00:23,12,2,VALDOIE 
14:02:52,5,5,VALDOIE 
14:10:51,13,1,VALDOIE 
14:17:53,17,1,VALDOIE 
14:24:09,14,4,VALDOIE 
14:38:47,14,2,VALDOIE 
14:39:02,5,5,VALDOIE 
14:41:36,5,3,VALDOIE 
14:57:31,16,2,VALDOIE 
14:57:52,9,3,VALDOIE 
14:59:42,6,6,VALDOIE 
15:01:18,10,5,VALDOIE 
15:12:32,9,3,VALDOIE 
15:19:56,9,9,VALDOIE 
15:33:11,9,5,VALDOIE 
15:34:28,17,1,VALDOIE 
15:42:09,9,5,VALDOIE 
15:46:44,10,6,VALDOIE 
15:46:55,3,9,VALDOIE 
15:48:32,17,1,VALDOIE 
15:48:39,15,3,VALDOIE 
15:50:34,4,1,VALDOIE 
15:56:15,2,11,VALDOIE 
16:00:24,12,5,VALDOIE 
16:05:52,10,6,VALDOIE 
16:07:33,6,9,VALDOIE 
16:15:19,2,8,VALDOIE 
16:16:33,7,7,VALDOIE 
16:27:04,13,1,VALDOIE 
16:32:28,2,1,VALDOIE 
16:33:32,1,6,VALDOIE 
16:35:20,3,4,VALDOIE 
16:41:17,10,4,VALDOIE 
16:48:04,4,10,VALDOIE 
16:51:17,17,1,VALDOIE 
16:52:06,4,9,VALDOIE 
16:57:11,3,4,VALDOIE 
17:00:31,17,1,VALDOIE 
17:04:27,12,1,VALDOIE 
17:12:37,16,2,VALDOIE 
17:12:54,15,1,VALDOIE 
17:16:16,7,9,VALDOIE 
17:17:07,1,12,VALDOIE 
17:18:19,14,3,VALDOIE 
17:19:47,1,14,VALDOIE 
17:20:01,17,1,VALDOIE 
17:20:36,3,1,VALDOIE 
17:20:55,1,4,VALDOIE 
17:21:22,13,4,VALDOIE 
17:26:52,2,5,VALDOIE 
17:27:06,2,8,VALDOIE 
17:32:59,1,15,VALDOIE 
17:36:32,5,10,VALDOIE 
17:37:05,8,8,VALDOIE 
17:43:18,6,10,VALDOIE 
17:49:21,5,6,VALDOIE 
17:53:53,5,11,VALDOIE 
17:58:24,16,2,VALDOIE 
18:02:34,17,1,VALDOIE 
18:03:36,1,4,VALDOIE 
18:03:49,13,1,VALDOIE 
18:05:48,10,6,VALDOIE 
18:11:50,3,6,VALDOIE 
18:16:42,15,3,VALDOIE 
18:19:14,11,7,VALDOIE 
18:19:52,12,2,VALDOIE 
18:24:34,1,4,VALDOIE 
18:30:56,9,1,VALDOIE 
18:33:40,5,8,VALDOIE 
18:34:55,10,3,VALDOIE 
18:37:00,16,1,VALDOIE 
18:46:35,12,5,VALDOIE 
18:49:37,1,13,VALDOIE 
18:49:40,11,4,VALDOIE 
18:52:02,4,4,VALDOIE 
18:56:42,6,7,VALDOIE 
18:59:36,6,5,VALDOIE 
19:00:06,11,6,VALDOIE 
19:02:04,2,7,VALDOIE 
19:03:11,8,3,VALDOIE 
19:03:31,12,4,VALDOIE 
19:04:49,2,5,VALDOIE 
19:07:19,7,5,VALDOIE 
19:12:45,14,4,VALDOIE 
19:15:30,10,3,VALDOIE 
19:16:55,3,13,VALDOIE 
19:23:38,7,1,VALDOIE 
19:27:08,1,16,VALDOIE 
19:30:01,5,4,VALDOIE 
19:30:56,13,3,VALDOIE 
19:35:12,5,11,VALDOIE 
19:48:47,1,10,VALDOIE 
19:50:29,1,15,VALDOIE 
19:51:15,3,3,VALDOIE 
19:59:06,11,7,VALDOIE 
20:15:54,15,1,VALDOIE 
20:35:31,16,1,VALDOIE 
20:39:38,2,14,VALDOIE 
20:50:07,5,2,VALDOIE 
21:07:53,8,1,VALDOIE 
21:11:31,13,3,VALDOIE 
21:18:51,3,7,VALDOIE 
21:19:01,17,1,VALDOIE 
21:48:52,15,1,VALDOIE 
22:01:59,9,8,VALDOIE 
