Arrival time,Boarding stop,Stops to go,Direction
06:00:03,13,1,VALDOIE 
06:00:03,12,1,VALDOIE 
06:00:09,4,5,VALDOIE 
06:00:12,17,1,VALDOIE 
06:00:27,10,8,VALDOIE 
06:00:29,8,7,VALDOIE 
06:00:34,17,1,VALDOIE 
06:00:35,9,1,VALDOIE 
06:00:36,10,6,VALDOIE 
06:00:36,4,6,VALDOIE 
06:00:53,14,4,VALDOIE 
06:00:58,4,7,VALDOIE 
06:00:59,2,10,VALDOIE 
06:01:08,4,9,VALDOIE 
06:01:13,1,10,VALDOIE 
06:01:28,7,3,VALDOIE 
06:01:40,9,7,VALDOIE 
06:01:49,6,6,VALDOIE 
06:01:50,5,7,VALDOIE 
06:01:52,15,1,VALDOIE 
06:01:53,6,5,VALDOIE 
06:01:54,3,7,VALDOIE 
06:02:08,4,13,VALDOIE 
06:02:16,16,1,VALDOIE 
06:02:30,17,1,VALDOIE 
06:02:46,2,4,VALDOIE 
06:02:48,14,3,VALDOIE 
06:03:09,11,7,VALDOIE 
06:03:17,4,9,VALDOIE 
06:03:28,8,10,VALDOIE 
06:03:31,10,2,VALDOIE 
06:03:36,3,15,VALDOIE 
06:03:41,1,6,VALDOIE 
06:03:46,14,2,VALDOIE 
06:03:48,8,5,VALDOIE 
06:03:48,4,2,VALDOIE 
06:04:06,7,3,VALDOIE 
06:04:15,13,2,VALDOIE 
06:04:20,10,3,VALDOIE 
06:04:23,9,1,VALDOIE 
06:04:23,12,1,VALDOIE 
06:04:27,4,9,VALDOIE 
06:04:38,9,2,VALDOIE 
06:04:43,10,7,VALDOIE 
06:04:47,15,1,VALDOIE 
06:04:58,1,3,VALDOIE 
06:04:59,5,10,VALDOIE 
06:05:00,5,8,VALDOIE 
06:05:06,15,2,VALDOIE 
06:05:08,16,2,VALDOIE 
06:05:15,5,2,VALDOIE 
06:05:32,16,2,VALDOIE 
06:05:41,3,2,VALDOIE 
06:05:46,13,3,VALDOIE 
06:05:49,2,2,VALDOIE 
06:05:54,1,2,VALDOIE 
06:06:05,4,10,VALDOIE 
06:06:08,17,1,VALDOIE 
06:06:08,15,2,VALDOIE 
06:06:15,11,6,VALDOIE 
06:06:19,4,4,VALDOIE 
06:06:31,17,1,VALDOIE 
06:06:36,9,3,VALDOIE 
06:06:43,17,1,VALDOIE 
06:06:47,17,1,VALDOIE 
06:06:51,14,1,VALDOIE 
06:07:21,12,3,VALDOIE 
06:07:29,11,1,VALDOIE 
06:07:39,15,2,VALDOIE 
06:07:39,12,1,VALDOIE 
06:07:43,2,2,VALDOIE 
06:08:04,11,3,VALDOIE 
06:08:34,13,2,VALDOIE 
06:08:58,17,1,VALDOIE 
06:08:59,4,3,VALDOIE 
06:09:04,7,4,VALDOIE 
06:09:26,2,8,VALDOIE 
06:09:33,7,5,VALDOIE 
06:09:39,5,11,VALDOIE 
06:09:41,3,13,VALDOIE 
06:09:51,5,1,VALDOIE 
06:09:59,14,1,VALDOIE 
06:10:04,17,1,VALDOIE 
06:10:07,4,5,VALDOIE 
06:10:16,3,1,VALDOIE 
06:10:19,6,10,VALDOIE 
06:10:39,5,2,VALDOIE 
06:10:49,1,10,VALDOIE 
06:10:52,17,1,VALDOIE 
06:10:53,3,6,VALDOIE 
06:11:01,15,1,VALDOIE 
06:11:12,5,6,VALDOIE 
06:11:16,8,2,VALDOIE 
06:11:37,2,10,VALDOIE 
06:12:16,6,1,VALDOIE 
06:12:19,6,11,VALDOIE 
06:12:24,5,7,VALDOIE 
06:12:24,7,2,VALDOIE 
06:12:31,15,1,VALDOIE 
06:12:43,4,9,VALDOIE 
06:12:51,13,3,VALDOIE 
06:12:52,7,5,VALDOIE 
06:12:56,11,7,VALDOIE 
06:13:08,3,5,VALDOIE 
06:13:18,10,6,VALDOIE 
06:13:21,12,5,VALDOIE 
06:13:26,17,1,VALDOIE 
06:13:57,5,10,VALDOIE 
06:14:20,17,1,VALDOIE 
06:14:33,1,16,VALDOIE 
06:14:38,8,6,VALDOIE 
06:14:59,7,2,VALDOIE 
06:15:14,6,8,VALDOIE 
06:15:14,3,3,VALDOIE 
06:15:18,7,2,VALDOIE 
06:15:25,11,6,VALDOIE 
