Arrival time,Boarding stop,Stops to go,Direction
06:00:09,7,10,VALDOIE 
06:00:52,1,17,VALDOIE 
06:01:03,3,1,VALDOIE 
06:01:07,16,1,VALDOIE 
06:01:46,16,1,VALDOIE 
06:01:59,14,1,VALDOIE 
06:02:53,9,6,VALDOIE 
06:03:32,17,1,VALDOIE 
06:04:14,1,8,VALDOIE 
06:04:16,16,2,VALDOIE 
06:04:42,15,3,VALDOIE 
06:04:53,17,1,VALDOIE 
06:04:54,8,5,VALDOIE 
06:05:20,6,3,VALDOIE 
06:05:50,9,2,VALDOIE 
06:06:39,15,3,VALDOIE 
06:07:28,15,2,VALDOIE 
06:07:29,9,2,VALDOIE 
06:07:58,11,5,VALDOIE 
06:08:46,6,7,VALDOIE 
06:08:51,7,11,VALDOIE 
06:08:58,4,10,VALDOIE 
06:09:38,13,5,VALDOIE 
06:10:08,13,5,VALDOIE 
06:10:12,12,2,VALDOIE 
06:10:18,3,6,VALDOIE 
06:10:44,10,1,VALDOIE 
06:10:52,14,1,VALDOIE 
06:10:53,8,3,VALDOIE 
06:11:38,4,8,VALDOIE 
06:11:41,8,10,VALDOIE 
06:12:09,6,8,VALDOIE 
06:12:11,4,9,VALDOIE 
06:12:12,13,5,VALDOIE 
06:12:24,15,1,VALDOIE 
06:12:26,4,5,VALDOIE 
06:12:26,14,3,VALDOIE 
06:12:41,10,1,VALDOIE 
06:12:42,11,7,VALDOIE 
06:13:50,2,11,VALDOIE 
06:14:30,12,3,VALDOIE 
06:14:40,3,8,VALDOIE 
06:15:16,16,1,VALDOIE 
06:15:23,2,1,VALDOIE 
06:15:37,16,2,VALDOIE 
06:15:41,2,3,VALDOIE 
06:15:50,14,4,VALDOIE 
06:15:50,15,2,VALDOIE 
06:15:58,7,8,VALDOIE 
06:16:42,16,2,VALDOIE 
06:16:59,3,8,VALDOIE 
06:18:03,14,2,VALDOIE 
06:18:07,10,5,VALDOIE 
06:18:17,8,5,VALDOIE 
06:18:20,9,7,VALDOIE 
06:18:36,7,2,VALDOIE 
06:18:39,13,1,VALDOIE 
06:19:21,7,6,VALDOIE 
06:20:32,16,2,VALDOIE 
06:20:59,10,1,VALDOIE 
06:21:31,2,7,VALDOIE 
06:21:47,1,11,VALDOIE 
06:22:20,7,8,VALDOIE 
06:22:49,12,6,VALDOIE 
06:23:06,15,3,VALDOIE 
06:23:16,3,14,VALDOIE 
06:23:49,1,6,VALDOIE 
06:24:18,2,12,VALDOIE 
06:24:51,10,4,VALDOIE 
06:24:56,7,11,VALDOIE 
06:25:03,8,3,VALDOIE 
06:25:08,7,5,VALDOIE 
06:25:10,7,1,VALDOIE 
06:25:22,11,5,VALDOIE 
06:25:25,16,2,VALDOIE 
06:25:33,11,4,VALDOIE 
06:25:47,1,14,VALDOIE 
06:26:01,5,1,VALDOIE 
06:26:26,1,13,VALDOIE 
06:26:43,2,9,VALDOIE 
06:27:11,5,5,VALDOIE 
06:27:14,10,2,VALDOIE 
06:27:36,15,3,VALDOIE 
06:27:42,2,8,VALDOIE 
06:27:42,14,3,VALDOIE 
06:28:01,17,1,VALDOIE 
06:28:16,3,8,VALDOIE 
06:28:38,10,5,VALDOIE 
06:29:53,9,8,VALDOIE 
06:29:55,14,2,VALDOIE 
06:30:24,7,2,VALDOIE 
06:31:30,12,1,VALDOIE 
06:31:52,8,6,VALDOIE 
06:32:13,12,1,VALDOIE 
06:32:18,17,1,VALDOIE 
06:32:22,11,6,VALDOIE 
06:32:24,3,15,VALDOIE 
